OTU	G441802_mean	G441303_mean	G441284_mean	G440282_mean	G441424_mean	G440305_mean	G445224_mean	G440606_mean	G440981_mean	G440883_mean	G441502_mean	G440205_mean	G440104_mean	G445302_mean
136025.0	24.1	179.3	122.3	126.6	426.9	267.4	356.3	626.3	154.0	265.2	362.4	206.2	282.4	3.3
4388819.0	6.0	22.9	12.3	18.4	27.2	22.2	29.2	46.0	13.3	39.5	31.1	19.0	32.0	.7
4475561.0	3.4	13.1	5.2	7.2	16.7	9.3	13.2	25.8	4.7	17.8	16.7	11.9	20.9	.2
4441792.0	.6	4.2	3.0	3.0	10.6	6.0	8.8	15.6	3.8	6.3	9.2	4.9	7.6	.7
1111200.0	.7	5.2	3.5	3.5	11.9	7.5	9.7	17.2	4.0	7.0	9.9	5.5	8.0	.1
4394913.0	21.2	199.7	119.5	106.7	269.0	176.8	225.7	290.3	140.5	374.4	240.7	108.7	23.1	2.8
654155.0	2.4	42.8	24.2	24.5	43.0	30.1	48.7	63.5	27.7	60.9	44.6	21.0	18.2	.3
4415338.0	2.5	13.4	2.6	2.3	6.3	3.5	5.4	10.7	1.2	6.0	16.3	8.6	14.1	.5
651436.0	.1	1.4	.9	.9	4.2	1.9	3.0	5.8	1.2	1.9	3.7	1.6	3.2	.0
4481624.0	301.1	245.8	82.6	270.0	104.1	12.0	75.0	82.1	182.0	183.1	71.9	35.7	54.5	187.2
810889.0	.2	2.4	1.3	1.4	2.4	1.6	2.7	3.8	1.6	3.2	2.6	1.1	1.1	.0
107461.0	1.2	6.7	2.9	4.8	2.4	2.1	4.6	4.3	2.8	7.5	3.6	1.6	2.6	.2
765388.0	3.7	4.4	2.7	2.9	8.9	5.4	7.7	10.5	4.1	8.3	7.7	4.5	4.2	1.0
4409730.0	747.5	462.7	311.3	603.3	175.4	77.9	166.2	357.4	522.5	476.4	156.5	158.9	243.0	541.7
227434.0	1.5	8.2	3.2	3.2	5.2	3.6	5.6	8.1	3.4	7.4	5.6	2.8	3.5	.9
159017.0	.2	1.9	1.0	1.0	1.9	1.2	2.0	2.8	1.1	2.4	2.0	1.0	1.1	.0
